No.,Series,Votes,Author,Rank Change,2021 Rank
1,The Stormlight Archive,380,Brandon Sanderson,0,1
2,Middle-Earth Universe,371,J.R.R. Tolkien,0,2
3,First Law World,336,Joe Abercrombie,3,6
4,A Song of Ice and Fire,310,George R.R. Martin,1,5
5,Mistborn,257,Brandon Sanderson,-2,3
6,The Wheel of Time,230,Robert Jordan,-2,4
7,Realm of the Elderlings,228,Robin Hobb,1,8
8,Discworld,209,Terry Pratchett,-1,7
9,Malazan,185,Steven Erikson,3,12
10,The Green Bone Saga,173,Fonda Lee,20,30
11,Gentleman Bastard,159,Scott Lynch,-1,10
12,Harry Potter,152,J.K. Rowling,-1,11
13,The Kingkiller Chronicle,130,Patrick Rothfuss,-4,9
14,Red Rising Saga,121,Pierce Brown,1,15
15,Dune,113,Frank Herbert,1,16
16,The Dresden Files,107,Jim Butcher,-3,13
17,Cradle,99,Will Wight,5,22
18,The Murderbot Diaries,93,Martha Wells,0,18
19,The Broken Earth,90,N.K. Jemisin,-5,14
20,Earthsea Cycle,88,Ursula K. Le Guin,-3,17
21,The Locked Tomb,87,Tamsyn Muir,-1,19
22,The Witcher,82,Andrzej Sapkowski,-2,20
23,Piranesi,79,Susanna Clarke,36,59
24,The Dark Tower,69,Stephen King,0,24
25,The Expanse,66,James S. A. Corey,1,26
26,Hyperion Cantos,60,Dan Simmons,22,48
27,Jonathan Strange & Mr Norrell,59,Susanna Clarke,11,38
28,His Dark Materials,56,Philip Pullman,1,29
29,The Books of Babel,50,Josiah Bancroft,-6,23
29,Percy Jackson and the Olympians,50,Rick Riordan,12,41
31,The Hitchhiker's Guide to the Galaxy,48,Douglas Adams,-4,27
32,Wayfarers,45,Becky Chambers,2,34
32,Book of the Ancestor,45,Mark Lawrence,-11,21
34,Riyria,44,Michael J. Sullivan,-9,25
35,Children of Time,43,Adrian Tchaikovsky,34,69
36,The Faithful and the Fallen,42,John Gwynne,3,39
36,The Goblin Emperor,42,Katherine Addison,0,36
36,The Band,42,Nicholas Eames,-6,30
39,Book of the New Sun,41,Gene Wolfe,19,58
39,Hainish Cycle,41,Ursula K. Le Guin,14,53
41,Teixcalaan,39,Arkady Martine,13,54
41,Warbreaker,39,Brandon Sanderson,-2,39
43,Powder Mage,37,Brian McClellan,-2,41
43,The Osten Ard Saga,37,Tad Williams,37,80
45,Project Hail Mary,36,Andy Weir,192,237
45,World of the Five Gods,36,Lois McMaster Bujold,-11,34
45,American Gods,36,Neil Gaiman,3,48
48,The Old Kingdom,35,Garth Nix,11,59
48,Ender's Saga,35,Orson Scott Card,0,48
50,Tress of the Emerald Sea,34,Brandon Sanderson,NEW,N/A
50,Circe,34,Madeline Miller,-9,41
52,Scholomance,33,Naomi Novik,228,280
53,Lightbringer,32,Brent Weeks,-25,28
53,The Chronicles of the Black Company,32,Glen Cook,1,54
53,Berserk,32,Kentaro Miura,47,100
53,The Masquerade,32,Seth Dickinson,6,59
57,One Piece,31,Eiichiro Oda,87,144
58,The Chronicles of Narnia,30,C.S. Lewis,-10,48
58,Grishaverse,30,Leigh Bardugo,-11,47
58,Legends & Lattes,30,Travis Baldree,NEW,N/A
61,Tigana,29,Guy Gavriel Kay,14,75
61,The Lions of Al-Rassan,29,Guy Gavriel Kay,-2,59
61,Kushiel's Universe,29,Jacqueline Carey,4,65
61,The Second Apocalypse,29,R. Scott Bakker,83,144
65,The Poppy War,28,R.F. Kuang,-32,33
65,The Library at Mount Char,28,Scott Hawkins,8,73
65,Tortall Universe,28,Tamora Pierce,-6,59
68,Sandman,26,Neil Gaiman,7,75
68,Parahumans,26,Wildbow,-12,56
70,The Long Price Quartet,25,Daniel Abraham,22,92
70,Howl's Moving Castle,25,Diana Wynne Jones,-3,67
70,The Bloodsworn Saga,25,John Gwynne,52,122
70,The Winternight Trilogy,25,Katherine Arden,3,73
70,Remembrance of Earth's Past,25,Liu Cixin,18,88
70,Good Omens,25,Terry Pratchett and Neil Gaiman,10,80
76,The Burning,24,Evan Winter,-40,36
76,Theonite,24,M.L. Wang,-31,45
78,New Crobuzon (Bas-Lag),23,China Miéville,-12,66
78,The Song of Achilles,23,Madeline Miller,14,92
80,Star Wars,22,Various,102,182
81,Sun Eater,21,Christopher Ruocchio,156,237
81,This is How You Lose the Time War,21,Amal El-Mohtar and Max Gladstone,5,86
81,Nevermoor,21,Jessica Townsend,199,280
84,The Emperor's Soul,20,Brandon Sanderson,19,103
84,The Dandelion Dynasty,19,Ken Liu,75,159
84,Vorkosigan Saga,19,Lois McMaster Bujold,-36,48
84,The Memoirs of Lady Trent,19,Marie Brennan,-6,78
84,The Divine Cities,19,Robert Jackson Bennett,-25,59
89,Mother of Learning,18,Domagoj Kurmaic,93,182
89,The Sarantine Mosaic,18,Guy Gavriel Kay,-22,67
89,Neverwhere,18,Neil Gaiman,-20,69
89,Riftwar Cycle,18,Raymond E. Feist and Janny Wurts,-44,45
93,Blacktongue,17,Christopher Buehlman,NEW,#N/A
93,The Inheritance Cycle,17,Christopher Paolini,-24,69
93,The Licanius Trilogy,17,James Islington,-36,57
93,Gormenghast,17,Mervyn Peake,25,118
93,Spinning Silver,17,Naomi Novik,-24,69
93,The Ocean at the End of the Lane,17,Neil Gaiman,-5,88
93,Kindred,17,Octavia E. Butler,29,122
93,The Last Unicorn,17,Peter S. Beagle,-1,92
101,Terra Ignota,16,Ada Palmer,21,122
101,Culture,16,Iain M. Banks,-21,80
101,Broken Empire world,16,Mark Lawrence,-60,41
101,Earthseed,16,Octavia Butler,-13,88
101,The Wandering Inn,16,Pirateaba,58,159
101,The Stand,16,Stephen King,58,159
101,The House in the Cerulean Sea,16,T.J. Klune,-69,32
108,Rivers of London,15,Ben Aaronovitch,-16,92
108,The Singing Hills Cycle,15,Nghi Vo,172,280
108,The Tide Child,15,R.J. Barker,36,144
108,The Daevabad Trilogy,15,S.A. Chakraborty,-33,75
108,The Roots of Chaos,15,Samantha Shannon,30,138
113,The Martian,14,Andy Weir,-3,110
113,Imperial Radch,14,Ann Leckie,-33,80
113,Skyward,14,Brandon Sanderson,-33,80
113,Fullmetal Alchemist,14,Hiromu Arakawa,400,513
113,Foundation,14,Isaac Asimov,-3,110
113,Chronicles of Amber,14,Roger Zelazny,9,122
113,Sprawl,14,William Gibson,46,159
